IdCommune,NomCommune,NomCommune_ar,IdCercle,Initiateur,DateCreation,DateMAJ
578,YsqXy3Ya,JxcQw6cb,798,qbv7A0NJ,2008-02-29 21:57:18,2003-04-13 18:04:20
728,Kj5tupHi,ZSNHBfrg,281,0WffSvtJ,2021-04-17 04:26:26,2016-08-21 13:53:55
640,Dn8x6Ptm,xqR7D5bR,356,Dli5HQPy,2006-04-19 21:06:02,2011-05-11 15:47:19
398,hn8gX1aq,vLLKO2P1,324,uE7nA0Ud,2012-08-06 12:28:21,2002-08-28 16:51:43
758,pWBYh0Ow,K3bwJkxq,559,VXCX11QE,2002-09-30 13:06:21,2018-06-15 08:28:49
157,DDr66S3Z,GPcJ00YA,279,7mRxTxpo,2000-05-07 10:10:30,2013-08-06 02:55:06
845,7hQtotYv,ywQGNYBm,398,U4FJQgkT,2017-05-14 19:58:11,2010-03-29 18:07:44
707,TQYbgF03,9idUSDVD,531,zye5FYnR,2012-07-25 08:12:25,2001-10-26 23:15:53
748,1KgBjfhK,qCrujTbM,465,z5mUE82G,2006-11-01 16:09:12,2014-01-01 03:33:15
201,TVvWKp17,tWcXiaEd,139,r7UicnRB,2009-05-02 02:24:24,2013-01-09 22:07:23
