Id_Document,id_sous_zone,DernierMotifRejet,Statut,DateValidation,DateRejet
822,405,lwNybcy7ih7243EwMKpmn8Al0WEcB7vpnItGhJOnzPIeqQNRYe,YzjqBEtK,2004-06-24,2011-05-07
493,349,w0fZwILTWflIwYBH4gM7JuSKOn2zUfJm2m4rXOirP0RGNfCSD6,fnEtGwBY,2014-06-10,2008-03-02
180,963,GdbCl1xgWE7dbd5WZzuqSx5LXxwrfmWscYBpOBAiYPdR7bTHt3,pq5cTNZD,2017-07-29,2002-12-04
123,620,TwXQCExv5mktqldBDyi60DVgM6HDNDTjmwHDXEkb217T7I2MLX,rqBSm2yK,2011-06-09,2000-03-02
123,963,cZDVhXXTGmghfZigYD2OinfxDsZdsN0XDPOHJpuvY2Y1SMsdDI,QuWOq7z0,2006-10-16,2012-12-16
436,983,qHbwAuVjQAHd5m6dryJNiPnZZoZpbe2twZTMW0JyNFtHsx8OR3,FyPUleK6,2019-01-28,2015-08-10
123,633,yLRN2rY26Me1zcozXIszzgolzlA4NfBl5rAc4H9uFspLy6c5bK,lWHao8Q1,2016-12-27,2007-07-12
498,946,ZUvq8ii3h4xeuOQu3GF5Cr4Ru6x8hpvWwAabFWHcgEbbY9iECB,kkSUzvsD,2005-05-09,2000-03-29
47,30,G1vLJhg0m5KOuoyOX8SPtyIG22wf8NzBbQWqmPsIGBCBOGKZGM,ML7eJ5qm,2005-09-18,2012-06-04
125,983,w9uJhrmUQBq18ZjLK1xKHrDd0gdqVkgk9l25c2Ei4x3RD0j1tg,pbXy6izX,2006-05-18,2022-04-22
