Id_Etat,Id_Parcelle,DateAction,Initiateur,Action,num_parcelle,id_douar,Observ_Controle,ListMotifs
904,51,2013-08-22,pC5JL3Q5,QeaSEb2m,byzMpnqv,818,qbhoPLfjdIypYOJBzszYZhA4eNJcshnjSxqUH6cWWAoCRrbfRc,EpxJjANWD3hJARDnYJWAi4s0IXzbDiyhGBaH35loa780rGzvXb
846,19,2015-09-09,y8oczOhj,w7lpJDCx,tkWx1pDA,547,bYke9P7XQ7KH9KyMpXPpeJRkvApoo7PYkGFRXIBW0KU3xB6RfK,ceP7Mdwr8v28mPg9fWCfzLh50AU40A8zu9DRp1l0aozgD1iQZd
63,850,2013-07-10,7AZQMcvv,NaUKVsA1,tkWx1pDA,203,KSHgKQKIYUg09juKM7Mi2aqS47CBSbV30Hku4ks56WFPFWKmzA,9LVIim55edrctbQyBdGPV2fOOVXPysaxgYcIGFQyeSNRo2qZ7Z
627,664,2016-06-13,NuMDU28J,ZIFStSkg,MZFNsWZN,203,5Ln3cVyIBDHFSdpPwSEOpWVfXzdHuZ7U7ZCZrGhUfhGVtWj4rf,iotNTYBixc1UgyzB4LiQPPsbw5HY6I6MYzJ4UaJWdwzw6iSlpu
416,380,2010-07-22,t7VvEITF,ftn0dagP,byzMpnqv,203,Rt1RFnk8LQN8DUCdaA9Izuy9C1c5BULKLnHhQREo7HtZrMKjl2,pS7EWO7EUhH00YsJvhf5I43lNawt1UhNNjevTMWvMGkNxO6DZY
378,137,2012-09-03,rJreOJN2,7wTZWyR8,MZFNsWZN,427,OucqONZX9rZbwWwBRTLTAJ0IFRz6rW8w0y4YWbj12DZLruStqJ,hbt6Gv24GAToCm0RqCMStb1H17BokqsJnMHNLCbbLizKiTUbNg
84,28,2008-07-31,8W0mJCt3,OvpYTNVA,byzMpnqv,159,enfF1rmvOMP8gp1OaUpgNA4CiiRQK1XLcuBEqzqhg7OBsIXij2,yvVYZOi487pZF0Ui2JWKZBv3zcLA4MKurnqelawTgWkYOmoYhJ
555,696,2018-11-14,18Gdvwdj,2l7LIfYr,g4Lpn0Au,203,QlRfhnPR3qrDC5lSiXLsqzu9y0hVwPNZkIBMLkkRIOS9B2r2ZC,xoze8mL4UVgB7Kubw0dpbEYmZP9ycS23AR9AwfjMLHuwpxBl8V
283,579,2019-09-11,ZxpRc7bQ,0BLrPcBw,qDk2JI1R,115,ALKBaov5wIL6IrlS9hmkuZBeK2W2jG5j9xmrcTMc9SDgaV9txc,sYAd7Hz0TsCbWHPAKJw3CpeeXDVVMiuAmAbPPVjaCA8tKTi1JX
700,27,2005-12-09,KTo44h4t,xt1gGfLb,0YX2taM9,115,JQAFnO5bnyOki7GMw9GBsBa8Ii0dXb53OQto6uIabgvbaPLn4C,oSiY9NckbTW4C4V58QPqmpzmtuM4THgwfQjmNgXUdgdOwmsDHn
