id_douar,num_parcelle,indice,the_geom,the_geom_s
56,PYOZM4HR,620,POINT(0 0),FujhzOR6iQXsEU9oJ9o23GIXuEn1kdZ71vwLogEEJkKnCtJb8J
818,0YX2taM9,259,POINT(0 0),lrLhB6h1vyfAZ33sCEimY9PnwJAT92PLZJ6WX5WxPBABRXrHgM
427,PYOZM4HR,750,POINT(0 0),1pQZOFBBVcGNOm2i0RIu8FzqfZaWqHJ750gohJCBBS92VrEAmW
427,qDk2JI1R,616,POINT(0 0),Ov6RGdP8fOQvCD5hTuEUGM3kfH0CZukKowbojsEjPmIZZ6rPW3
159,byzMpnqv,745,POINT(0 0),8U44iVwCebR8urtVNaezG3LrclwOvRZ8AlRmeOy8OahPZlk2wL
547,g4Lpn0Au,94,POINT(0 0),ubWT5Ksdy6jnoDrUQd7VvMvl1KZwPP9yFlsENQoIrQHHhMifvb
56,0YX2taM9,250,POINT(0 0),8YfB4tQTCeUGS6E9QkSVwoWfwhdHRv7ZPKWK6LPHUbz6L0ewyP
427,byzMpnqv,215,POINT(0 0),C1ClOodom7F8y3AY5MtjLOCSUkKM9PDriVfVtKfpeqTNtBYCmg
967,H6JJKupp,21,POINT(0 0),ywpKyCiTp0RnHkf40dob9K2MTOtq5wrxINwS5jEao0MDXB7EUg
427,0YX2taM9,682,POINT(0 0),qzSe2fsFfpFpMunm1YLHodWW4GKuDsTGJjFiS09py0ecJfdNSW
