IdProvince,NomProvince,NomProvince_ar,Initiateur,DateCreation,DateMAJ
216,Tby6Pcqd,7nyAgHfW,Q3WgEM6K,2011-03-15 08:55:36,2014-02-07 04:48:12
816,ZXf1PW68,yHRnfrXf,fRIRV4Nm,2017-06-30 03:53:59,2001-04-12 03:34:39
189,tQVgX0JA,Zgvj6Ef3,TpL9qW66,2005-04-03 14:05:20,2020-06-07 16:44:54
780,fNLa4vAD,n6r0NGh9,BCYycXQ0,2012-04-30 10:44:50,2006-09-30 12:01:08
945,fzVxHU6b,teqfEtDT,0wh3hFbL,2014-02-28 20:55:24,2011-01-23 11:08:49
16,EWOguteI,PYrT3b1l,9OXJIgxB,2011-12-11 01:49:44,2011-03-12 08:54:44
635,eg2RpAug,olNq77Oq,TT4LSwAd,2008-11-03 06:52:42,2005-12-04 02:27:54
937,nVMl5Zc7,vfEhPN5N,esIoSiU1,2008-11-05 11:45:21,2013-04-09 14:45:59
192,tjKaMDLk,aFtFyvVQ,TsuFkvOg,2009-08-08 05:12:08,2018-09-18 12:10:22
977,DCU4AHOb,MDyrpI0b,2uYOkuWj,2014-12-05 22:55:14,2003-08-27 20:48:59
