Id_Riverain,Direction,num_parcelle,Id_douar,Type_Riverain,point_debut,point_fin,the_geom,the_geom_s,description
714,GZDPXWOh,PYOZM4HR,333,0MtPrcYP,t9zFvTqz,VHP8vs3j,POINT(0 0),6fv7dH9MS0D9mC1TItgpE3fWKHJVG6iUJII0iuj1fd76O2OxFA,SGPUTazs4zAMIiXVsIz9dzm7bFp6EYwyAFn9WtiMU16A6chZDK
458,g0F4u7Oe,tkWx1pDA,917,rSLF293k,msyABCKm,OyyMoR6n,POINT(0 0),UILyUHoEFngRsEMPuuKbIT3qJJQEP30wC1nKNRKhVJkfUPUPow,BUXpGMLQZpfSzYCMT93VUrfrX9qE2CnbfjxDCGYyaSGQmQOQaO
938,wTYhR5k4,HzTqfX7L,174,GqaS7Smx,skOpQrcS,kCFv9yek,POINT(0 0),n5OjlUdTw2qhYurUdCTxu624SiNvxD7K3pDnhOnK1GsrlIxGuu,xNwz9eKzA0tBRzF9ndpbbNzJpnHeeVkqWKvQgt439L9oTB6RzT
918,vhhwMW35,qDk2JI1R,71,33syUTLZ,ZxOtqdE9,DCaSJBcz,POINT(0 0),cckiDihADVS5QJKjLqB9nAvlpgqHWnL2zd18LtVSG0sYlFbaPY,aIDeCs9ZFl9YL9bIpCCjZ1ascxYpSxDdgi769zzVsyDykucoV3
350,gTPTKsWk,tkWx1pDA,128,ZKieYDRi,Oe18xvKM,vO5CFzKp,POINT(0 0),4HJXHtJenbX6Ei8w0bmlwgyGscObvVeEftLKoWPbNY3JtnSjx2,beTdPxVnb3HWiTJAu0ksj2DSQhvipAyiQ7fylPcqgDXPioYOJk
38,VGmiHPnC,byzMpnqv,775,D1SoWy6B,gLZHGrI4,YSUUzKMo,POINT(0 0),m9HqIkvpeH52e28fIuvEXFSxn9BjtlrZzc5aL5PVdX8jwAoeH2,0DGVyt8kf13pWKHGGCZs72oxReKunbBfxZn9sNE7H1sutKiHSi
662,oJKNiqXk,H6JJKupp,258,gB21zq1H,67U66vjr,hgSeW0iS,POINT(0 0),8edB65pOxyuh8aLkVoNgKx8jEWWi77wSKdtcDkBsTNFZFnGvFC,Q8ftl2l2pNNWWEmZKZx8a5b9Vh0dtHv1l7tKRDKTEKl2gfTc8y
259,EMuYuZpn,qDk2JI1R,406,u0OiXHkm,VKbfkGQ2,Rt5sE1eg,POINT(0 0),hIg4Oqx74nXe9jSCBOh5preyOatYDmSTaQ9MkLtPoSzA1HTMdb,mCuhw7A9yRk9sSJgxHPNVi3TG9U6MI1RsJAM5Sx32LfFg1Du5L
765,iVksnQR1,byzMpnqv,180,i6nIHIQ2,yxlrKtFZ,AKTrt55p,POINT(0 0),iQy64mpQXqgnJUFaaidDqsiBfKxJYOJRCbUyseECvVyC4CxMsF,ekLvN8P9OCvx0tjJy33gcdoCNh7iA44RMCTB3D7fTBxUZnFx4c
696,ZACh7Lh2,tkWx1pDA,477,n9loOCMU,0Wgtc7jr,y2STO0WT,POINT(0 0),f05j1dkgP4LhrHgx1dU8c8Er531QF5RbQMWibtq25x24U9BCJl,dLZuPLgLr4sGGcb5HSZPMkxSzWjT6GqTChE6xyrfHqEe9wSBjg
