name,x,y,num_parcelle,id_douar,indice,the_geom,gid,Type_borne
aFdX8C8H,668.42,84.47,H6JJKupp,427,94,POINT(0 0),502,EjCfO0BP
Xn9wClrs,914.86,203.56,byzMpnqv,427,215,POINT(0 0),553,aw417XBt
b8jESvEG,521.3,373.61,PYOZM4HR,427,94,POINT(0 0),76,7PmyFcr3
VuAM4jp5,698.45,530.78,0YX2taM9,427,620,POINT(0 0),77,i69HLFxJ
taCJFuDZ,155.23,19.9,0YX2taM9,56,616,POINT(0 0),197,RltyGJvh
jyARia0r,842.55,903.62,byzMpnqv,159,94,POINT(0 0),491,anISeAHf
SP5NkIkZ,511.27,908.86,g4Lpn0Au,818,750,POINT(0 0),22,GuZDYlD5
P4BDdLr4,575.2,717.84,qDk2JI1R,56,21,POINT(0 0),841,ZkBDvqPy
mg5Wv6vO,606.79,995.36,g4Lpn0Au,56,616,POINT(0 0),197,p9iXmH5K
9YsdjhQl,264.8,759.51,PYOZM4HR,818,616,POINT(0 0),776,To8gDXEA
