name,x,y,titref,ordre,num_parcelle,id_douar,the_geom,gid,type
KIpgJYXH,171.55,564.17,KLI9eLdz,286,byzMpnqv,427,POINT(0 0),276,qNamazjk
yutsufMy,564.96,526.66,aOhEs4xQ,708,qDk2JI1R,56,POINT(0 0),222,q5mukFIk
1tCp1nBy,474.79,18.2,mMFjFRfa,326,0YX2taM9,818,POINT(0 0),444,MDEZBzve
sw6xpuyE,371.83,794.23,pShlvszG,390,H6JJKupp,427,POINT(0 0),683,aVSCOxZV
7jsJ7Eyd,160.29,975.55,VkNTWo2O,660,byzMpnqv,427,POINT(0 0),563,E1yfFgmF
Ae8FEAOk,20.21,819.21,OlL9Jos0,278,g4Lpn0Au,427,POINT(0 0),963,FvziZyDJ
DUt3A7zx,680.24,229.41,wvrkztVg,656,PYOZM4HR,56,POINT(0 0),263,28EJKtci
Vbfnymvp,709.52,798.05,EbnpG1qE,162,qDk2JI1R,56,POINT(0 0),716,Oi8gGXJb
v56yyNUv,398.75,501.25,ImTjrrLl,256,qDk2JI1R,427,POINT(0 0),270,4bKMei9Q
XR4HmF8B,790.31,421.43,469ng1iS,617,0YX2taM9,427,POINT(0 0),674,HiEDizCm
